id,city,statecode
1,Des Moines,IA
2,Fayetteville,AR
3,Madison,WI
4,Huntsville,AL
5,Denver,CO
6,Colorado Springs,CO
7,Austin,TX
8,Grand Rapids,MI
9,Charlotte,NC
10,Nashville,TN
11,Portland,OR
12,Greenville,SC
13,Boise,ID
14,Seattle,WA
15,Phoenix,AZ
16,Sarasota,FL
17,Houston,TX
18,Salt Lake City,UT
19,Winston-Salem,NC
20,Melbourne,FL
21,San Antonio,TX
22,Omaha,NE
23,Portland,ME
24,Lansing,MI
25,Cincinnati,OH
26,Indianapolis,IN
27,Pensacola,FL
28,Harrisburg,PA
29,San Francisco,CA
30,Boston,MA
31,Fort Myers,FL
32,San Jose,CA
33,Fort Wayne,IN
34,Reno,NV
35,Jacksonville,FL
36,Knoxville,TN
37,Buffalo,NY
38,Kansas City,MO
39,Pittsburgh,PA
40,Manchester,NH
41,Syracuse,NY
42,Chattanooga,TN
43,Hartford,CT
44,Charleston,SC
45,Richmond,VA
46,Milwaukee,WI
47,Tampa,FL
48,San Diego,CA
49,Rochester,NY
50,Atlanta,GA
51,Dayton,OH
52,Lakeland,FL
53,Oklahoma City,OK
54,Greensboro,NC
55,Orlando,FL
56,Louisville,KY
57,Augusta,GA
58,Spokane,WA
59,Columbia,SC
60,Salem,OR
61,Tucson,AZ
62,Wichita,KS
63,Las Vegas,NV
64,Cleveland,OH
65,Springfield,MO
66,Anchorage,AK
67,Myrtle Beach,SC
68,Tulsa,OK
69,Detroit,MI
70,Birmingham,AL
71,Little Rock,AR
72,Springfield,MA
73,Sacramento,CA
74,Toledo,OH
75,York,PA
76,Youngstown,OH
77,Providence,RI
78,Scranton,PA
79,Santa Rosa,CA
80,Lafayette,LA
81,Baltimore,MD
82,New Haven,CT
83,Honolulu,HI
84,Philadelphia,PA
85,Killeen,TX
86,Daytona Beach,FL
87,Santa Barbara,CA
88,Chicago,IL
89,Beaumont,TX
90,Corpus Christi,TX
91,Jackson,MS
92,Albuquerque,NM
93,Flint,MI
94,Baton Rouge,LA
95,Virginia Beach,VA
96,Brownsville,TX
97,El Paso,TX
98,New Orleans,LA
99,Shreveport,LA
100,Memphis,TN
101,Mobile,AL
102,Fresno,CA
103,Miami,FL
104,Los Angeles,CA
105,Modesto,CA
106,Bakersfield,CA
107,Stockton,CA
108,Salinas,CA
